,Ram,Battery,Display,Price,company,Inbuilt_memory,fast_charging,Screen_resolution,Processor,Processor_name,rear,front,no_of_sim,Is_5G
0,4.0,6000,6.6,9999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
1,2.0,4000,6.4,9990,Samsung,32,15.0,480 x 960,1.6 GHz Processor,Octa,13,8,Dual Sim,No
2,4.0,5000,6.6,11999,Samsung,64,25.0,1080 x 2400,1.6 GHz Processor,Octa,50,8,Dual Sim,No
3,4.0,6000,6.4,11999,Samsung,64,18.0,480 x 960,Octa Core,Helio,48,13,Dual Sim,No
4,4.0,5000,6.5,11999,Samsung,64,15.0,480 x 960,Octa Core,Helio,13,5,Dual Sim,No
5,6.0,5000,6.5,11990,Samsung,128,15.0,480 x 960,Octa Core,Dimensity,50,5,Dual Sim,Yes
6,4.0,6000,6.4,11990,Samsung,64,15.0,1080 x 2400,Octa Core,Exynos,48,20,Dual Sim,No
7,4.0,5000,6.5,11990,Samsung,64,15.0,480 x 960,Octa Core,Helio,48,8,Dual Sim,No
8,4.0,5000,6.6,11599,Samsung,64,15.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
9,6.0,6000,6.6,12298,Samsung,128,15.0,1080 x 2400,Octa Core,Exynos,50,8,Dual Sim,No
10,8.0,6000,6.5,14999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
11,4.0,5000,6.6,14999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
12,4.0,6000,6.6,14999,Samsung,64,15.0,1080 x 2400,Octa Core,Exynos,50,8,Dual Sim,No
13,4.0,5000,6.4,14999,Samsung,128,18.0,480 x 960,Octa Core,Helio,48,13,Dual Sim,No
14,6.0,6000,6.5,14999,Samsung,128,15.0,480 x 960,Octa Core,Exynos,48,8,Dual Sim,No
15,4.0,3500,6.1,14999,Samsung,64,18.0,1080 x 2400,Octa Core,Helio,48,25,Dual Sim,No
16,6.0,6000,6.6,14990,Samsung,128,25.0,1080 x 2400,Octa Core,Octa,50,32,Dual Sim,Yes
17,4.0,5000,6.7,14990,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,No
18,6.0,5000,6.6,14949,Samsung,128,15.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
19,6.0,5000,6.4,19999,Samsung,128,15.0,1080 x 2400,Octa Core,Helio,64,20,Dual Sim,No
20,6.0,6000,6.4,19999,Samsung,64,15.0,1080 x 2400,Octa Core,Exynos,64,32,Dual Sim,No
21,4.0,3500,6.21,19990,Samsung,64,18.0,480 x 960,Octa Core,Samsung,13,16,Dual Sim,No
22,8.0,5000,6.67,19990,Samsung,128,25.0,1080 x 2400,Octa Core,Octa,50,16,Dual Sim,Yes
23,6.0,5000,6.4,19799,Samsung,128,15.0,480 x 960,Octa Core,Helio,48,13,Dual Sim,No
24,8.0,5000,6.5,19499,Samsung,128,25.0,1080 x 2400,Octa Core,Dimensity,50,13,Dual Sim,Yes
25,8.0,5000,6.6,18999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,Yes
26,6.0,4500,6.6,18999,Samsung,128,18.0,1080 x 2400,Octa Core,Dimensity,50,8,Dual Sim,Yes
27,8.0,5000,6.67,18990,Samsung,128,30.0,1080 x 2400,Octa Core,Octa,64,16,Dual Sim,Yes
28,8.0,5000,6.4,18990,Samsung,128,15.0,1080 x 2400,Octa Core,Helio,64,20,Dual Sim,No
29,8.0,5000,6.6,20999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,8,Dual Sim,No
30,8.0,4500,6.4,29999,Samsung,256,25.0,1080 x 2400,Octa Core,Snapdragon,12,32,Dual Sim,Yes
31,8.0,5000,6.6,29999,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
32,8.0,4500,6.5,29999,Samsung,128,18.0,1080 x 2400,Octa Core,Snapdragon,12,32,Dual Sim,Yes
33,8.0,6000,6.6,29999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,50,13,Dual Sim,Yes
34,6.0,4500,6.5,29999,Samsung,128,15.0,1080 x 2400,Octa Core,Exynos,48,32,Dual Sim,Yes
35,6.0,5000,6.58,29999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,Yes
36,8.0,5000,6.5,28990,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,64,32,Dual Sim,Yes
37,8.0,4500,6.7,28990,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,No
38,8.0,4500,6.7,30500,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,No
39,12.0,5000,6.67,30999,Samsung,256,45.0,1080 x 2400,Octa Core,Snapdragon,50,50,Dual Sim,Yes
40,8.0,4500,6.7,39999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,Yes
41,6.0,4500,6.71,39990,Samsung,128,25.0,480 x 960,Octa Core,Snapdragon,64,10,Dual Sim,Yes
42,6.0,4500,6.71,39990,Samsung,128,25.0,480 x 960,Octa Core,Snapdragon,64,10,Dual Sim,Yes
43,6.0,3500,6.4,39990,Samsung,128,18.0,1080 x 2400,Octa Core,Snapdragon,24,24,Dual Sim,No
44,8.0,5000,6.6,38900,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,32,Dual Sim,Yes
45,8.0,3500,6.7,37999,Samsung,128,15.0,1080 x 2400,Octa Core,Snapdragon,50,16,Dual Sim,Yes
46,8.0,6000,6.7,37999,Samsung,128,25.0,1080 x 2400,Octa Core,Exynos,108,32,Dual Sim,Yes
47,8.0,5000,6.7,37999,Samsung,256,25.0,1080 x 2400,Octa Core,Snapdragon,64,32,Dual Sim,No
48,6.0,4500,6.6,37999,Samsung,128,25.0,1080 x 2400,Octa Core,Snapdragon,50,13,Dual Sim,Yes
49,12.0,5000,6.6,41289,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,32,Dual Sim,Yes
50,8.0,4500,6.4,41790,Samsung,256,25.0,1080 x 2400,Octa Core,Exynos,50,10,Dual Sim,Yes
51,8.0,5000,6.78,42990,Samsung,128,45.0,1080 x 2400,Octa Core,Snapdragon,108,32,Dual Sim,Yes
52,8.0,5000,6.7,42999,Samsung,128,33.0,1080 x 2400,Octa Core,Snapdragon,108,32,Dual Sim,Yes
